***-O2 Optimization***
500,  0.15, 1644,  0.02, 12685
1000,  6.41, 312,  0.15, 13377
1500, 22.46, 300,  0.50, 13528
2000, 61.36, 260,  1.17, 13691
2500, 119.82, 260,  2.28, 13716
3000, 235.09, 229,  3.94, 13695
3500, 387.14, 221,  6.24, 13752
4000, 582.80, 219,  9.31, 13749
4500, 852.48, 213, 13.26, 13748
5000, 1179.17, 212, 18.16, 13766
500,  0.15, 1639,  0.02, 12633
1000,  6.41, 312,  0.15, 13366
1500, 22.63, 298,  0.50, 13524
2000, 61.38, 260,  1.17, 13681
2500, 119.86, 260,  2.28, 13710
3000, 235.83, 228,  3.94, 13695
3500, 385.08, 222,  6.24, 13745
4000, 571.01, 224,  9.31, 13751
4500, 852.44, 213, 13.27, 13735
5000, 1180.83, 211, 18.19, 13746
500,  0.15, 1641,  0.02, 12663
1000,  6.41, 311,  0.15, 13353
1500, 22.53, 299,  0.50, 13521
2000, 61.45, 260,  1.17, 13682
2500, 120.60, 259,  2.28, 13698
3000, 234.59, 230,  3.95, 13681
3500, 387.52, 221,  6.24, 13739
4000, 574.05, 222,  9.32, 13728
4500, 853.55, 213, 13.27, 13728
5000, 1181.08, 211, 18.19, 13740
500,  0.15, 1672,  0.02, 12642
1000,  6.41, 311,  0.15, 13353
1500, 22.59, 298,  0.50, 13517
2000, 61.31, 260,  1.17, 13669
2500, 119.35, 261,  2.28, 13690
3000, 233.61, 231,  3.95, 13671
3500, 387.15, 221,  6.25, 13726
4000, 581.68, 220,  9.33, 13722
4500, 852.89, 213, 13.29, 13715
5000, 1180.78, 211, 18.20, 13735
