***-03 -funroll-loops Optimization***
500,  0.13, 1947,  0.02, 12708
1000,  6.40, 312,  0.15, 13378
1500, 22.51, 299,  0.50, 13530
2000, 62.52, 255,  1.17, 13687
2500, 121.11, 258,  2.28, 13709
3000, 236.63, 228,  3.94, 13692
3500, 397.55, 215,  6.24, 13750
4000, 590.47, 216,  9.31, 13748
4500, 872.45, 208, 13.27, 13733
5000, 1213.72, 205, 18.18, 13749
500,  0.13, 1959,  0.02, 12680
1000,  6.40, 312,  0.15, 13362
1500, 22.40, 301,  0.50, 13525
2000, 62.72, 255,  1.17, 13676
2500, 122.02, 256,  2.28, 13702
3000, 239.02, 225,  3.94, 13690
3500, 397.52, 215,  6.24, 13744
4000, 598.42, 213,  9.32, 13740
4500, 872.50, 208, 13.26, 13740
5000, 1214.34, 205, 18.17, 13756
500,  0.13, 1984,  0.02, 12645
1000,  6.40, 312,  0.15, 13356
1500, 22.53, 299,  0.50, 13522
2000, 62.41, 256,  1.17, 13672
2500, 120.90, 258,  2.28, 13699
3000, 238.25, 226,  3.95, 13683
3500, 397.23, 215,  6.24, 13734
4000, 595.27, 215,  9.32, 13728
4500, 873.43, 208, 13.28, 13723
5000, 1215.50, 205, 18.19, 13740
500,  0.13, 1951,  0.02, 12618
1000,  6.40, 312,  0.15, 13346
1500, 22.53, 299,  0.50, 13521
2000, 62.66, 255,  1.17, 13675
2500, 121.02, 258,  2.28, 13705
3000, 237.52, 227,  3.94, 13689
3500, 397.92, 215,  6.24, 13747
4000, 590.22, 216,  9.31, 13742
4500, 872.71, 208, 13.27, 13737
5000, 1214.08, 205, 18.18, 13753
