***No Optimization***
500,  0.64, 392,  0.02, 12714
1000,  8.02, 249,  0.15, 13375
1500, 34.67, 194,  0.50, 13532
2000, 83.01, 192,  1.17, 13679
2500, 180.09, 173,  2.28, 13701
3000, 301.92, 178,  3.95, 13683
3500, 542.29, 158,  6.24, 13737
4000, 730.63, 175,  9.32, 13729
4500, 1188.88, 153, 13.28, 13725
5000, 1498.42, 166, 18.20, 13739
500,  0.63, 393,  0.02, 12652
1000,  8.08, 247,  0.15, 13367
1500, 34.64, 194,  0.50, 13524
2000, 82.24, 194,  1.17, 13681
2500, 177.82, 175,  2.28, 13716
3000, 300.86, 179,  3.94, 13699
3500, 538.04, 159,  6.23, 13753
4000, 736.49, 173,  9.31, 13754
4500, 1178.66, 154, 13.25, 13751
5000, 1489.38, 167, 18.16, 13764
500,  0.64, 393,  0.02, 12708
1000,  8.09, 247,  0.15, 13371
1500, 34.71, 194,  0.50, 13513
2000, 82.36, 194,  1.17, 13684
2500, 178.48, 175,  2.28, 13709
3000, 301.16, 179,  3.95, 13683
3500, 537.98, 159,  6.24, 13752
4000, 740.64, 172,  9.32, 13737
4500, 1180.05, 154, 13.28, 13726
5000, 1491.36, 167, 18.19, 13741
500,  0.64, 392,  0.02, 12708
1000,  8.01, 249,  0.15, 13359
1500, 34.76, 194,  0.50, 13523
2000, 82.50, 193,  1.17, 13666
2500, 178.33, 175,  2.28, 13689
3000, 298.99, 180,  3.95, 13670
3500, 537.47, 159,  6.25, 13728
4000, 735.79, 173,  9.33, 13722
4500, 1179.61, 154, 13.29, 13716
5000, 1491.29, 167, 18.20, 13734
500,  0.64, 393,  0.02, 12696
1000,  8.07, 247,  0.15, 13359
1500, 34.79, 194,  0.50, 13529
2000, 82.31, 194,  1.17, 13684
2500, 177.78, 175,  2.28, 13712
3000, 298.35, 180,  3.94, 13688
3500, 538.41, 159,  6.24, 13744
4000, 740.44, 172,  9.32, 13740
4500, 1176.28, 154, 13.27, 13733
5000, 1487.45, 168, 18.18, 13748
