No Optimization
500,  0.63, 395,  0.02, 12702
1000,  8.05, 248,  0.15, 13328
1500, 35.10, 192,  0.50, 13523
2000, 83.16, 192,  1.17, 13679
2500, 179.62, 173,  2.28, 13701
3000, 301.13, 179,  3.95, 13686
3500, 541.32, 158,  6.24, 13751
4000, 743.12, 172,  9.35, 13688
4500, 1184.91, 153, 13.26, 13741
5000, 1501.08, 166, 18.18, 13754
O1
500,  0.30, 824,  0.02, 12677
1000,  6.55, 305,  0.15, 13361
1500, 23.27, 290,  0.50, 13519
2000, 63.91, 250,  1.17, 13681
2500, 124.82, 250,  2.28, 13701
3000, 244.48, 220,  3.95, 13683
3500, 406.09, 211,  6.24, 13739
4000, 627.16, 204,  9.32, 13734
4500, 913.00, 199, 13.28, 13726
5000, 1274.97, 196, 18.20, 13733
O2
500,  0.15, 1672,  0.02, 12654
1000,  6.41, 311,  0.15, 13348
1500, 22.50, 299,  0.50, 13524
2000, 61.12, 261,  1.17, 13682
2500, 119.22, 262,  2.28, 13699
3000, 235.29, 229,  3.95, 13685
3500, 386.18, 222,  6.24, 13736
4000, 577.13, 221,  9.32, 13734
4500, 853.00, 213, 13.28, 13726
5000, 1181.05, 211, 18.18, 13752
O3
500,  0.15, 1675,  0.02, 12670
1000,  6.41, 312,  0.15, 13364
1500, 22.63, 298,  0.50, 13526
2000, 61.04, 262,  1.17, 13691
2500, 120.19, 260,  2.28, 13713
3000, 233.23, 231,  3.94, 13692
3500, 386.56, 221,  6.24, 13734
4000, 581.54, 220,  9.32, 13739
4500, 852.47, 213, 13.27, 13732
5000, 1180.62, 211, 18.18, 13748
O3 -funroll-loops
500,  0.13, 1963,  0.02, 12667
1000,  6.40, 312,  0.15, 13365
1500, 22.61, 298,  0.50, 13514
2000, 62.39, 256,  1.17, 13674
2500, 122.64, 254,  2.28, 13704
3000, 237.81, 227,  3.95, 13683
3500, 397.31, 215,  6.24, 13741
4000, 590.77, 216,  9.32, 13738
4500, 872.71, 208, 13.27, 13729
5000, 1215.08, 205, 18.18, 13748
